Timestamp,Channel,Message
2019-09-28 11:41:13,miranda/zigbee2mqtt/0x00158d000349876a,|{"temperature":23.72,"linkquality":49,"humidity":56.27,"pressure":1004.2,"battery":91,"voltage":2985}|
2019-09-28 11:42:27,miranda/zigbee2mqtt/bridge/state,online
2019-09-28 11:42:27,miranda/zigbee2mqtt/bridge/config,|{"version":"1.5.1","commit":"ac3b924","coordinator":20190515,"log_level":"info","permit_join":false}|
2019-09-28 11:42:34,miranda/mqtt/test,
2019-09-28 11:42:36,miranda/mqtt/test,
2019-09-28 11:42:43,miranda/mqtt/test,
2019-09-28 11:42:54,miranda/mqtt/test,
2019-09-28 11:42:54,miranda/mqtt/devices,
2019-09-28 11:42:58,miranda/zigbee2mqtt/bridge/config/devices,
2019-09-28 11:42:58,miranda/zigbee2mqtt/bridge/log,|{"type":"devices","message":[{"ieeeAddr":"0x00124b001d41aa97","type":"Coordinator"},{"ieeeAddr":"0x00178801040c9476","type":"Router","model":"9290012573A","friendly_name":"led_wohnzimmer_01","nwkAddr":45713,"manufId":4107,"manufName":"Philips","powerSource":"Mains (single phase)","modelId":"LCT015","hwVersion":1,"swBuildId":"1.29.0_r21169","dateCode":"20170908"},{"ieeeAddr":"0x0017880104878b88","type":"Router","model":"9290012573A","friendly_name":"led_wohnzimmer_02","nwkAddr":16849,"manufId":4107,"manufName":"Philips","powerSource":"Mains (single phase)","modelId":"LCT015","hwVersion":1,"swBuildId":"1.29.0_r21169","dateCode":"20170908"},{"ieeeAddr":"0x000b3cfffef56003","type":"Router","model":"LED1649C5","friendly_name":"led_bad_01","nwkAddr":25577,"manufId":4476,"manufName":"IKEA of Sweden","powerSource":"Mains (single phase)","modelId":"TRADFRI bulb E14 W op/ch 400lm","hwVersion":1,"swBuildId":"1.2.214","dateCode":"20170302"},{"ieeeAddr":"0x000b3cfffeff0aa8","type":"Router","model":"LED1649C5","friendly_name":"led_bad_02","nwkAddr":39066,"manufId":4476,"manufName":"IKEA of Sweden","powerSource":"Mains (single phase)","modelId":"TRADFRI bulb E14 W op/ch 400lm","hwVersion":1,"swBuildId":"1.2.214","dateCode":"20170302"},{"ieeeAddr":"0x7cb03eaa0a02fa78","type":"Router","model":"AB3257001NJ","friendly_name":"Steckdose_TV","nwkAddr":39768,"manufId":48042,"manufName":"OSRAM","powerSource":"Mains (single phase)","modelId":"Plug 01","hwVersion":1,"swBuildId":"V1.04.12","dateCode":"20140331DEOS****"},{"ieeeAddr":"0x8418260000105fa0","type":"Router","model":"AB3257001NJ","friendly_name":"Steckdose_Server","nwkAddr":54337,"manufId":48042,"manufName":"OSRAM","powerSource":"Mains (single phase)","modelId":"Plug 01","hwVersion":1,"swBuildId":"V1.04.12","dateCode":"20140331DEOS****"},{"ieeeAddr":"0x00158d000349876a","type":"EndDevice","model":"WSDCGQ11LM","friendly_name":"0x00158d000349876a","nwkAddr":31406,"manufId":4151,"manufName":"LUMI","powerSource":"Battery","modelId":"lumi.weather","hwVersion":30,"swBuildId":"3000-0001","dateCode":"20161129"},{"ieeeAddr":"0x00178801067147c7","type":"EndDevice","model":"324131092621","friendly_name":"HUE_Dimmer","nwkAddr":34027,"manufId":4107,"manufName":"Philips","powerSource":"Battery","modelId":"RWL021","hwVersion":1,"swBuildId":"5.45.1.17846","dateCode":"20160302"},{"ieeeAddr":"0x00158d000275de23","type":"EndDevice","model":"MFKZQ01LM","friendly_name":"Cube_Spotify","nwkAddr":51079,"manufId":4151,"manufName":"LUMI","powerSource":"Battery","modelId":"lumi.sensor_cube"},{"ieeeAddr":"0x00158d0001923614","type":"EndDevice","model":"SPZB0001","friendly_name":"0x00158d0001923614","nwkAddr":26999,"manufId":4151,"manufName":"Eurotronic","powerSource":"Battery","modelId":"SPZB0001","hwVersion":34,"swBuildId":"18181120","dateCode":"20190408"},{"ieeeAddr":"0x0017880104498d6b","type":"Router","model":"915005106701","friendly_name":"led_strip_01","nwkAddr":33623,"manufId":4107,"manufName":"Philips","powerSource":"Mains (single phase)","modelId":"LST002"}]}|
2019-09-28 11:43:09,miranda/mqtt/test,
2019-09-28 11:43:38,miranda/zigbee2mqtt/Steckdose_Server,|{"state":"OFF","linkquality":49}|
2019-09-28 11:45:34,miranda/zigbee2mqtt/0x00158d000349876a,|{"temperature":23.79,"linkquality":57,"humidity":56.27,"pressure":1004.2,"battery":91,"voltage":2985}|
2019-09-28 11:46:25,miranda/zigbee2mqtt/0x00158d000349876a,|{"temperature":23.77,"linkquality":57,"humidity":56.27,"pressure":1004.2,"battery":91,"voltage":2985}|
2019-09-28 11:48:17,miranda/zigbee2mqtt/bridge/state,online
2019-09-28 11:48:17,miranda/zigbee2mqtt/bridge/config,|{"version":"1.5.1","commit":"ac3b924","coordinator":20190515,"log_level":"info","permit_join":false}|
2019-09-28 11:48:20,miranda/mqtt/test,
2019-09-28 11:48:23,miranda/mqtt/test,
2019-09-28 11:48:23,miranda/zigbee2mqtt/bridge/config/remove,0x00158d0001923614
2019-09-28 11:48:33,miranda/zigbee2mqtt/bridge/log,|{"type":"device_removed","message":"0x00158d0001923614"}|
2019-09-28 11:48:47,miranda/mqtt/test,
2019-09-28 11:48:47,miranda/mqtt/devices,
2019-09-28 11:48:51,miranda/zigbee2mqtt/bridge/config/devices,
2019-09-28 11:48:51,miranda/zigbee2mqtt/bridge/log,|{"type":"devices","message":[{"ieeeAddr":"0x00124b001d41aa97","type":"Coordinator"},{"ieeeAddr":"0x00178801040c9476","type":"Router","model":"9290012573A","friendly_name":"led_wohnzimmer_01","nwkAddr":45713,"manufId":4107,"manufName":"Philips","powerSource":"Mains (single phase)","modelId":"LCT015","hwVersion":1,"swBuildId":"1.29.0_r21169","dateCode":"20170908"},{"ieeeAddr":"0x0017880104878b88","type":"Router","model":"9290012573A","friendly_name":"led_wohnzimmer_02","nwkAddr":16849,"manufId":4107,"manufName":"Philips","powerSource":"Mains (single phase)","modelId":"LCT015","hwVersion":1,"swBuildId":"1.29.0_r21169","dateCode":"20170908"},{"ieeeAddr":"0x000b3cfffef56003","type":"Router","model":"LED1649C5","friendly_name":"led_bad_01","nwkAddr":25577,"manufId":4476,"manufName":"IKEA of Sweden","powerSource":"Mains (single phase)","modelId":"TRADFRI bulb E14 W op/ch 400lm","hwVersion":1,"swBuildId":"1.2.214","dateCode":"20170302"},{"ieeeAddr":"0x000b3cfffeff0aa8","type":"Router","model":"LED1649C5","friendly_name":"led_bad_02","nwkAddr":39066,"manufId":4476,"manufName":"IKEA of Sweden","powerSource":"Mains (single phase)","modelId":"TRADFRI bulb E14 W op/ch 400lm","hwVersion":1,"swBuildId":"1.2.214","dateCode":"20170302"},{"ieeeAddr":"0x7cb03eaa0a02fa78","type":"Router","model":"AB3257001NJ","friendly_name":"Steckdose_TV","nwkAddr":39768,"manufId":48042,"manufName":"OSRAM","powerSource":"Mains (single phase)","modelId":"Plug 01","hwVersion":1,"swBuildId":"V1.04.12","dateCode":"20140331DEOS****"},{"ieeeAddr":"0x8418260000105fa0","type":"Router","model":"AB3257001NJ","friendly_name":"Steckdose_Server","nwkAddr":54337,"manufId":48042,"manufName":"OSRAM","powerSource":"Mains (single phase)","modelId":"Plug 01","hwVersion":1,"swBuildId":"V1.04.12","dateCode":"20140331DEOS****"},{"ieeeAddr":"0x00158d000349876a","type":"EndDevice","model":"WSDCGQ11LM","friendly_name":"0x00158d000349876a","nwkAddr":31406,"manufId":4151,"manufName":"LUMI","powerSource":"Battery","modelId":"lumi.weather","hwVersion":30,"swBuildId":"3000-0001","dateCode":"20161129"},{"ieeeAddr":"0x00178801067147c7","type":"EndDevice","model":"324131092621","friendly_name":"HUE_Dimmer","nwkAddr":34027,"manufId":4107,"manufName":"Philips","powerSource":"Battery","modelId":"RWL021","hwVersion":1,"swBuildId":"5.45.1.17846","dateCode":"20160302"},{"ieeeAddr":"0x00158d000275de23","type":"EndDevice","model":"MFKZQ01LM","friendly_name":"Cube_Spotify","nwkAddr":51079,"manufId":4151,"manufName":"LUMI","powerSource":"Battery","modelId":"lumi.sensor_cube"},{"ieeeAddr":"0x0017880104498d6b","type":"Router","model":"915005106701","friendly_name":"led_strip_01","nwkAddr":33623,"manufId":4107,"manufName":"Philips","powerSource":"Mains (single phase)","modelId":"LST002"}]}|
2019-09-28 11:48:57,miranda/mqtt/test,
2019-09-28 11:48:57,miranda/zigbee2mqtt/bridge/config/remove,led_strip_01
2019-09-28 11:49:07,miranda/zigbee2mqtt/bridge/log,|{"type":"device_removed","message":"led_strip_01"}|
2019-09-28 11:53:27,miranda/zigbee2mqtt/HUE_Dimmer,|{"battery":100,"linkquality":49,"counter":1,"brightness":205}|
2019-09-28 11:57:50,miranda/zigbee2mqtt/bridge/state,online
2019-09-28 11:57:50,miranda/zigbee2mqtt/bridge/config,|{"version":"1.5.1","commit":"ac3b924","coordinator":20190515,"log_level":"info","permit_join":false}|
2019-09-28 11:57:54,miranda/mqtt/test,
2019-09-28 11:58:23,miranda/zigbee2mqtt/bridge/state,online
2019-09-28 11:58:23,miranda/zigbee2mqtt/bridge/config,|{"version":"1.5.1","commit":"ac3b924","coordinator":20190515,"log_level":"info","permit_join":false}|
2019-09-28 11:58:28,miranda/mqtt/test,
2019-09-28 12:00:18,miranda/zigbee2mqtt/Steckdose_Server,|{"state":"OFF","linkquality":57}|
2019-09-28 12:01:28,miranda/zigbee2mqtt/0x00158d000349876a,|{"temperature":24.06,"linkquality":54,"humidity":56,"pressure":1004.5,"battery":91,"voltage":2985}|
2019-09-28 12:01:39,miranda/zigbee2mqtt/0x00158d000349876a,|{"temperature":24.08,"linkquality":52,"humidity":56,"pressure":1004.5,"battery":91,"voltage":2985}|
2019-09-28 12:02:39,miranda/zigbee2mqtt/0x00158d000349876a,|{"temperature":24.09,"linkquality":52,"humidity":56,"pressure":1004.5,"battery":91,"voltage":2985}|
2019-09-28 12:02:46,miranda/zigbee2mqtt/bridge/state,online
2019-09-28 12:02:46,miranda/zigbee2mqtt/bridge/config,|{"version":"1.5.1","commit":"ac3b924","coordinator":20190515,"log_level":"info","permit_join":false}|
